D'Orbigny's chat-tyrant
Buff-bellied puffbird
Upcher's warbler
Upland moa
Variegated fairywren
Vegavis
Velvet scoter
Vervain hummingbird
Violaceous euphonia
Violaceous jay
Virginia's warbler
Akiapōlāau
Ākohekohe
Apapane
Ula-ai-hāwane
Ōū
Des Murs's wiretail
Desert cisticola
Desert finch
Domestic duck
Domestic goose
Domestic pigeon
Dominican green-and-yellow macaw
Doria's goshawk
Doricha
Dorst's cisticola
Doryfera
Dot-backed antbird
Dot-winged antwren
Dot-winged crake
Dotted tanager
Double-banded greytail
Double-banded pygmy tyrant
Double-collared seedeater
Dugand's antwren
Duida woodcreeper
Duivenbode's riflebird
Dull-blue flycatcher
Dusky-backed jacamar
Dusky-blue flycatcher
Dusky-capped flycatcher
Dusky-capped greenlet
Dusky-chested flycatcher
Dusky-faced tanager
Dusky-legged guan
Dusky-tailed antbird
Dusky-tailed canastero
Dusky-tailed flatbill
Dusky-throated antshrike
Dusky antbird
Dusky broadbill
Dusky bush tanager
Dusky crested flycatcher
Dusky gerygone
Dusky grasswren
Dusky grouse
Dusky hummingbird
Dusky indigobird
Dusky megapode
Dusky munia
Dusky myzomela
Dusky pigeon
Dusky piha
Dusky robin
Dusky spinetail
Dusky tapaculo
Dusky turtle dove
Dusky twinspot
Dusky white-eye
Dwarf fruit dove
Dwarf jay
Dwarf koel
Dwarf sparrowhawk
Dwarf tyrant-manakin
Dwarf vireo
Eared pitta
Eared pygmy tyrant
East Andean antbird
East Brazilian chachalaca
East Coast boubou
East coast akalat
Eastern bluebonnet
Eastern bristlebird
Eastern bronze-naped pigeon
Eastern chanting goshawk
Eastern chat-tanager
Eastern golden weaver
Eastern nicator
Persian nuthatch
happy halloween
Eastern wattled cuckooshrike
Eastern whipbird
Eastern yellow wagtail
Inambari woodcreeper
Inca flycatcher
Inca wren
Indian Ocean kestrels
Indian blue robin
Indian golden oriole
Indian nuthatch
Indian pond heron
Indian spotted creeper
Indian swiftlet
Indigo flowerpiercer
Indigo flycatcher
Indochinese cuckooshrike
Indochinese yuhina
Inland Thornbill
Ivory-backed woodswallow
Ivory-billed aracari
Ivory-billed woodcreeper
Ivory-billed woodpecker
Ivory-breasted pitta
Jamaican becard
Jamaican blackbird
Jamaican elaenia
Jamaican mango
Jamaican pewee
Jamaican vireo
Jameson's wattle-eye
Johannes's tody-tyrant
Kākāriki
Kākāwahie
Lesser masked weaver
Long-tailed sylph
Ludwig's bustard
Magellanic penguin
Masked flowerpiercer
Moluccan dwarf kingfisher
New Zealand fantail
Northern bald ibis
Old World Quail
Olivaceous flatbill
Olive-headed lorikeet
Orange-banded flycatcher
Orange-eared tanager
Oriental pied hornbill
Long-tailed cuckoo
Pale-mandibled aracari
Pale chanting goshawk
Parrot crossbill
Partridge
Peruvian antpitta
Philippine magpie-robin
Pied triller
Pinyon jay
Red-collared lorikeet
Red-crested turaco
Red-necked spurfowl
Red-tailed black cockatoo
Red-winged fairywren
Rock partridge
Rock wren
Ruby-topaz hummingbird
Rufous-breasted antthrush
Rufous hornero
Rusty-margined guan
Réunion grey white-eye
Rüppell's korhaan
Satin bowerbird
Scaly-sided merganser
Schalow's turaco
Sedge wren
Semicollared flycatcher
Serinus
Seychelles magpie-robin
Short-tailed shearwater,
Slender-billed shearwater
Short-toed rock thrush
Sinai rosefinch
Sind sparrow
Slaty-capped flycatcher
Snowy-crowned robin-chat
Sooty grouse
Southern nightingale-wren
Speckled hummingbird
Speckled pigeon
Spix's guan
Spotted sandgrouse
Lettered aracari
Levaillant's cisticola
Levaillant's cuckoo
Lewin's honeyeater
Lewin's rail
Lichmera
Lichtenstein's sandgrouse
Light-crowned spinetail
Light-mantled albatross
Lilac-crowned amazon
Lilac-tailed parrotlet
Lilacine amazon
Olive-flanked ground robin
Painted spurfowl
Paramo ground tyrant
Rosy-throated longclaw
Rufous-crowned elaenia
Sulawesi cuckoo
Sunda blue flycatcher
Swamp boubou
Timor stubtail
African terrestrial barbets
Varzea schiffornis
White-backed woodpecker
White-eared parakeet
Yellow-rumped thornbill
Yellowish pipit
Nubian bustard
Nullarbor quail-thrush
Nuthatch vanga
Patagonian yellow finch
Peaceful dove
Pheasant cuckoo
Red-moustached fruit dove
Spotted fantail
Stout-billed cuckooshrike
Timneh parrot
Tui parakeet
White-breasted tapaculo
White-throated treecreeper
Yellow-breasted tailorbird
Plain gerygone
Red-rumped wheatear
Red-throated parrotfinch
Royal cinclodes
Scaly-throated leaftosser
Somali pigeon
Tit-like dacnis
Tree warblers
Veraguan mango
White-tailed hummingbird
Paycheck Fairness Act
Peach-fronted parakeet
Pearl-bellied white-eye
Pearly-bellied seedeater
Pearly-breasted cuckoo
Pectoral-patch cisticola
Pelzeln's tody-tyrant
Poukai
Predicted antwren
Pulitzer's longbill
Rockwarbler
Seychelles blue pigeon
Sumatran leafbird
White-browed warbler
Yellow-bellied elaenia
Pygmy batis
Ringed warbling finch
Scribble-tailed canastero
Stripe-tailed yellow finch
Przevalski's finch
Przevalski's parrotbill
Przevalski's redstart
Príncipe speirops
Príncipe weaver
Pteroptochos
Ptilotula
Puerto Rican bullfinch
Puerto Rican tanager
Puerto Rican tody
Puerto Rican vireo
Puffbirds and allies
Pufflegs
White-eared honeyeater
Silver-throated bushtit
White-naped xenopsaris
North Island brown kiwi
North Island kōkako
North Melanesian cuckooshrike
Northern bentbill
Northern black flycatcher
Northern black korhaan
Northern boobook
Northern brown-throated weaver
Northern crombec
Northern fantail
Northern potoo
Northern schiffornis
Northern scrub flycatcher
Northern scrub robin
Nothoprocta
Peruvian recurvebill
Philippine swamphen
Piprites
Red-crowned amazon
Reiser's tyrannulet
Rudd's apalis
Rufous-browed conebill
Sahel paradise whydah
Salvadori's seedeater
Seychelles paradise flycatcher
Sooty-fronted spinetail
Star-throated antwren
Thick-billed flowerpecker
Tibetan eared pheasant
Trilling tapaculo
Violet-throated metaltail
Western red-billed hornbill
White-headed robin-chat
Zeledon's antbird
Sooty albatross
Spot-winged parrotlet
Striated fieldwren
Tufted tit-spinetail
Violaceous quail-dove
Wagtail-tyrant
White-tailed starfrontlet
Yellow-throated bush tanager
Speckle-breasted wren
Spotted bowerbird
Spotted catbird
Strange-tailed tyrant
Stub-tailed spadebill
Tufted jay
Vermilion tanager
Warbling antbird
Western black-headed batis
White-bellied whistler
White-eared brown dove
White-eared jacamar
White-eyed attila
White-necked puffbird
White-rumped swift
White-spotted flufftail
White-tailed lapwing
Yellowish white-eye
Common chaffinch
Common chiffchaff
Common crane
Common diving petrel
Common emerald dove
Common gallinule
Common goldeneye
Common grasshopper warbler
Common ground dove
Common iora
Common linnet
Common merganser
Common nightingale
Common pheasant
Common pochard
Common quail
Common redpoll
Common redstart
Common reed bunting
Common scoter
Common starling
Common swift
Common whitethroat
Common woodshrike
Common yellowthroat
Concornis
Connecticut warbler
Cookie
Corn crake
Corsican nuthatch
Corythornis
Costa's hummingbird
Cotton pygmy goose
Crescent honeyeater
Crested bobwhite
Crested drongo
Crested shelduck
Crimson-headed partridge
Crimson-hooded manakin
Crossbill
Crowned hornbill
Ancash tapaculo
Anchieta's sunbird
Ancient antwren
Andaman coucal
Andaman cuckooshrike
Andaman drongo
Andaman flowerpecker
Andaman green pigeon
Andaman masked owl
Andaman scops owl
Andaman shama
Andaman teal
Andaman wood pigeon
Andean cock-of-the-rock
Andean emerald
Andean hillstar
Andean negrito
Andean potoo
Andean siskin
Andean swallow
Andean tit-spinetail
Mascarene martin
Masked duck
Masked shrike
Masked water tyrant
Mayotte drongo
Mayotte white-eye
Melanesian megapode
Melanesian whistler
Melodious warbler
Russet sparrow
Rusty-margined flycatcher
Rusty blackbird
Réunion cuckooshrike
Réunion olive white-eye
Rück's blue flycatcher
Saffron-crowned tanager
Sage thrasher
Saint Lucia warbler
Sakalava weaver
Cherrie's antwren
Cherrie's tanager
Chestnut-backed antbird
Chestnut-backed antshrike
Chestnut-backed jewel-babbler
Chestnut-backed thornbird
Chestnut-bellied cotinga
Chestnut-bellied cuckoo
Chestnut-bellied euphonia
Chestnut-bellied fantail
Chestnut-bellied flowerpiercer
Chestnut-bellied guan
Chestnut-bellied hummingbird
Chestnut-bellied malkoha
Chestnut-bellied monarch
Chestnut-bellied mountain tanager
Chestnut-bellied nuthatch
Chestnut-bellied rock thrush
Chestnut-bellied sandgrouse
Chestnut-bellied seed finch
Chestnut-bellied seedeater
Chestnut-bellied tit
Chestnut-belted gnateater
Chestnut-breasted coronet
Chestnut-breasted cuckoo
Chestnut-breasted mountain finch
Chestnut-breasted quail-thrush
Chestnut-breasted whiteface
Chestnut-breasted wren
Chestnut-capped flycatcher
Chestnut-capped puffbird
Chestnut-collared longspur
Chestnut-collared swallow
Chestnut-crested antbird
Chestnut-crowned babbler
Chestnut-crowned becard
Chestnut-crowned foliage-gleaner
Chestnut-crowned gnateater
Chestnut-eared aracari
Chestnut-faced babbler
Chestnut-flanked sparrowhawk
Chestnut-flanked white-eye
Chestnut-fronted helmetshrike
Chestnut-headed crake
Chestnut-headed nunlet
Chestnut-mandibled toucan
Chestnut-naped antpitta
Chestnut-naped forktail
Chestnut-necklaced partridge
Chestnut-rumped babbler
Chestnut-rumped heathwren
Chestnut-rumped thornbill
Chestnut-shouldered antwren
Chestnut-sided shrike-vireo
Chestnut-throated apalis
Chestnut-throated huet-huet
Chestnut-throated seedeater
Chestnut-vented conebill
Chestnut-vented warbler
Chestnut-winged babbler
Chestnut-winged chachalaca
Chestnut-winged cinclodes
Chestnut-winged foliage-gleaner
Chestnut-winged hookbill
Chestnut antpitta
Chestnut forest rail
Chestnut quail-thrush
Chestnut rail
Chestnut seedeater
Chestnut teal
Chestnut wattle-eye
Chestnut weaver
Chestnut wood quail
Chihuahuan raven
Tenca, Chilean mockingbird
Chilean pigeon
Chilean seaside cinclodes
Chilean woodstar
Elliot's pheasant
Elusive antpitta
Erythrotriorchis
Esmeraldas antbird
Gavicalis
Gecinulus
Geelvink pygmy parrot
Genyornis
Geoffroyus
Geopelia
Louisiade white-eye
Lovely cotinga
Lovely fairywren
Lowland akalat
Lowland masked apalis
Lowland peltops
Lowland sooty boubou
Lowland Tiny Greenbul
Lowland white-eye
Loxioides
Loxops
Nahan's partridge
Namaqua sandgrouse
Nene
Netta
Nicobar parakeet
North Pacific albatross
Olive whistler
Olrog's cinclodes
Orange-bellied parrot
Midget flowerpecker
Northern golden bulbul
Puff-backed honeyeater
Red-throated cliff swallow
Roberts's warbler
Rufous-banded miner
Rufous thrushes
Rusty-breasted nunlet
Rusty-vented canastero
Satin flycatcher
Shiny whistling thrush
White-bellied spinetail
White-rumped spinetail
White-whiskered hermit
White-winged coot
White-winged cotinga
White-winged robin
Yellow-bellied hyliota
Yemen serin
Yucatan vireo
Olive-backed tailorbird
Pectoral antwren
Pygmy antwren
Red-billed partridge
Red-necked tanager
Rufous-naped ground tyrant
Scarlet-breasted flowerpecker
Spot-flanked gallinule
Tropical kingbird
Upland pipit
White-chested white-eye
Wied's tyrant-manakin
Yellow-throated white-eye
Mountain parakeet
Norfolk golden whistler
Orange-crowned euphonia
Psittaculirostris
Red-capped robin
Red-faced spinetail
Rimatara reed warbler
Solomons white-eye
Somali fiscal
Streak-backed canastero
Streak-breasted treehunter
Violet-headed hummingbird
Wahnes's parotia
White-bellied thicket fantail
White-eared hummingbird
White-throated redstart
White-winged becard
Yellow-billed nunbird
Mugimaki flycatcher
Narcissus flycatcher
Nilgiri flycatcher
Norfolk boobook
Pale-billed flowerpecker
Pink-headed imperial pigeon
Red-browed treecreeper
Rosy pipit
Round-tailed manakin
Ruddy tody-flycatcher
Rufous-headed pygmy tyrant
Rusty-naped pitta
Río Orinoco spinetail
Sapphire-vented puffleg
Scrub honeyeater
Short-billed pipit
Spotted great rosefinch
Spotted puffbird
Sri Lanka green pigeon
Streaked xenops
White-throated gerygone
Yellow-breasted pipit
Yellow-breasted warbling antbird
Yellow-throated cuckoo
New Caledonian friarbird
Olive-spotted hummingbird
Pale-shouldered cicadabird
Plain parakeet
Red-spectacled amazon
Rufous-tailed antthrush
Rufous wren
Rüppell's weaver
Santa Marta parakeet
Scaled flowerpiercer
Sepia-capped flycatcher
Sokoke pipit
Spectacled finch
Sulphur-billed nuthatch
Tepui wren
Vireolanius
White-bibbed fruit dove
Yungas dove
Oriental bay owl
Orange-bellied euphonia
Pacific flatbill
Pale-tailed barbthroat
Pearled treerunner
Philippine duck
Plain bush-hen
Pohnpei flycatcher
Puna ground tyrant
Rufous-vented whitetip
Sharp-tailed grass tyrant
Southern antpipit
Southern bentbill
Sula pitta
Vogelkop bowerbird
White-bellied antpitta
White-rumped monjita
Wing-banded wren
Peruvian treehunter
Peruvian tyrannulet
Rattling cisticola
Robust white-eye
Rufous-throated flycatcher
Sarimanok
Scrub euphonia
Sharpe's apalis
Silver-breasted broadbill
Streak-fronted thornbird
Tailorbird
Tiger shrike
Ward's flycatcher
White-fronted black chat
White-quilled rock pigeon
White-throated tapaculo
Yellow-breasted flowerpecker
Puna canastero
Rufous cisticola
Sao Francisco black tyrant
Scaled antpitta
Schneider's pitta
Short-tailed grasswren
Stolid flycatcher
Swamp palm bulbul
Tschudi's woodcreeper
